"list_name","name","label","Hub","District","Block_VDC"
"Block_VDCs","RaikawarBichawa","RaikawarBichawa","Nepal","Kanchanpur",""
"Block_VDCs","RauteliBichawa","RauteliBichawa","Nepal","Kanchanpur",""
"Block_VDCs","Sankarpur","Sankarpur","Nepal","Kanchanpur",""
"Block_VDCs","Suda","Suda","Nepal","Kanchanpur",""
"Block_VDCs","Agragaun","Agragaun","Nepal","Surkhet",""
"Block_VDCs","Awalaching","Awalaching","Nepal","Surkhet",""
"Block_VDCs","Bajedichaur","Bajedichaur","Nepal","Surkhet",""
"Block_VDCs","Betan","Betan","Nepal","Surkhet",""
"Block_VDCs","Bidyapur","Bidyapur","Nepal","Surkhet",""
"Block_VDCs","Bijaura","Bijaura","Nepal","Surkhet",""
"Block_VDCs","Birendranagar","Birendranagar","Nepal","Surkhet",""
"Block_VDCs","Chapre","Chapre","Nepal","Surkhet",""
"Block_VDCs","Chhinchu","Chhinchu","Nepal","Surkhet",""
"Block_VDCs","Dabiyachaur","Dabiyachaur","Nepal","Surkhet",""
"Block_VDCs","Dahachaur","Dahachaur","Nepal","Surkhet",""
"Block_VDCs","Dandakhali","Dandakhali","Nepal","Surkhet",""
"Block_VDCs","Dasarthpur","Dasarthpur","Nepal","Surkhet",""
"Block_VDCs","Dharapani","Dharapani","Nepal","Surkhet",""
"Block_VDCs","GadiBayalkada","GadiBayalkada","Nepal","Surkhet",""
"Block_VDCs","Garpan","Garpan","Nepal","Surkhet",""
"Block_VDCs","Ghatgaun","Ghatgaun","Nepal","Surkhet",""
"Block_VDCs","Ghoreta","Ghoreta","Nepal","Surkhet",""
"Block_VDCs","Ghumkhahare","Ghumkhahare","Nepal","Surkhet",""
"Block_VDCs","Gumi","Gumi","Nepal","Surkhet",""
"Block_VDCs","Guthu","Guthu","Nepal","Surkhet",""
"Block_VDCs","Hariharpur","Hariharpur","Nepal","Surkhet",""
"Block_VDCs","Jarbuta","Jarbuta","Nepal","Surkhet",""
"Block_VDCs","Kafalkot","Kafalkot","Nepal","Surkhet",""
"Block_VDCs","Kalyan","Kalyan","Nepal","Surkhet",""
"Block_VDCs","Kaprichaur","Kaprichaur","Nepal","Surkhet",""
"Block_VDCs","Khanikhola","Khanikhola","Nepal","Surkhet",""
"Block_VDCs","Kunathari","Kunathari","Nepal","Surkhet",""
"Block_VDCs","Lagaam","Lagaam","Nepal","Surkhet",""
"Block_VDCs","Latikoili","Latikoili","Nepal","Surkhet",""
"Block_VDCs","Lekhfarsa","Lekhfarsa","Nepal","Surkhet",""
"Block_VDCs","Lekhgaun","Lekhgaun","Nepal","Surkhet",""
"Block_VDCs","Lekhparajul","Lekhparajul","Nepal","Surkhet",""
"Block_VDCs","Maintada","Maintada","Nepal","Surkhet",""
"Block_VDCs","Malarani","Malarani","Nepal","Surkhet",""
"Block_VDCs","Matela","Matela","Nepal","Surkhet",""
"Block_VDCs","Mehelkuna","Mehelkuna","Nepal","Surkhet",""
"Block_VDCs","Neta","Neta","Nepal","Surkhet",""
"Block_VDCs","Pamka","Pamka","Nepal","Surkhet",""
"Block_VDCs","Pokharikanda","Pokharikanda","Nepal","Surkhet",""
"Block_VDCs","Rajeni","Rajeni","Nepal","Surkhet",""
"Block_VDCs","Rakam","Rakam","Nepal","Surkhet",""
"Block_VDCs","Ramghat","Ramghat","Nepal","Surkhet",""
"Block_VDCs","Ranibas","Ranibas","Nepal","Surkhet",""
"Block_VDCs","Ratu","Ratu","Nepal","Surkhet",""
"Block_VDCs","Sahare","Sahare","Nepal","Surkhet",""
"Block_VDCs","Salkot","Salkot","Nepal","Surkhet",""
"Block_VDCs","Satokhani","Satokhani","Nepal","Surkhet",""
"Block_VDCs","Taranga","Taranga","Nepal","Surkhet",""
"Block_VDCs","Tatopani","Tatopani","Nepal","Surkhet",""
"Block_VDCs","Uttarganga","Uttarganga","Nepal","Surkhet",""
"Block_VDCs","Amritpur","Amritpur","Nepal","Dang",""
"Block_VDCs","Baghmare","Baghmare","Nepal","Dang",""
"Block_VDCs","Bela","Bela","Nepal","Dang",""
"Block_VDCs","Bijauri","Bijauri","Nepal","Dang",""
"Block_VDCs","Chaulahi","Chaulahi","Nepal","Dang",""
"Block_VDCs","Dhanauri","Dhanauri","Nepal","Dang",""
"Block_VDCs","Dharna","Dharna","Nepal","Dang",""
"Block_VDCs","Dhikpur","Dhikpur","Nepal","Dang",""
"Block_VDCs","Diruwa","Diruwa","Nepal","Dang",""
"Block_VDCs","Gadhawa","Gadhawa","Nepal","Dang",""
"Block_VDCs","Gangapraspur","Gangapraspur","Nepal","Dang",""
"Block_VDCs","Gobardiya","Gobardiya","Nepal","Dang",""
"Block_VDCs","Goltakuri","Goltakuri","Nepal","Dang",""
"Block_VDCs","Halwar","Halwar","Nepal","Dang",""
"Block_VDCs","Hansipur","Hansipur","Nepal","Dang",""
"Block_VDCs","Hapur","Hapur","Nepal","Dang",""
"Block_VDCs","Hekuli","Hekuli","Nepal","Dang",""
"Block_VDCs","Kabhre","Kabhre","Nepal","Dang",""
