"list_name","name","label","Hub","District","Block"
"Blocks","CuttackSadar","Cuttack Sadar","Odisha","Cuttack",""
"Blocks","Kantapada","Kantapada","Odisha","Cuttack",""
"Blocks","Mahanga","Mahanga","Odisha","Cuttack",""
"Blocks","Narasinghpur","Narasinghpur","Odisha","Cuttack",""
"Blocks","Niali","Niali","Odisha","Cuttack",""
"Blocks","Nischintakoili","Nischintakoili","Odisha","Cuttack",""
"Blocks","Salipur","Salipur","Odisha","Cuttack",""
"Blocks","TangiChoudwar","Tangi Choudwar","Odisha","Cuttack",""
"Blocks","Tigiria","Tigiria","Odisha","Cuttack",""
"Blocks","Balikuda","Balikuda","Odisha","Jagatsinghpur",""
"Blocks","Biridi","Biridi","Odisha","Jagatsinghpur",""
"Blocks","Erasama","Erasama","Odisha","Jagatsinghpur",""
"Blocks","Jagatsinghpur","Jagatsinghpur","Odisha","Jagatsinghpur",""
"Blocks","Kujang","Kujang","Odisha","Jagatsinghpur",""
"Blocks","Naugaon","Naugaon","Odisha","Jagatsinghpur",""
"Blocks","Raghunathpur","Raghunathpur","Odisha","Jagatsinghpur",""
"Blocks","Tirtol","Tirtol","Odisha","Jagatsinghpur",""
"Blocks","Anandapur","Anandapur","Odisha","Keonjhar",""
"Blocks","Banspal","Banspal","Odisha","Keonjhar",""
"Blocks","Champua","Champua","Odisha","Keonjhar",""
"Blocks","Ghasipura","Ghasipura","Odisha","Keonjhar",""
"Blocks","Ghatagaon","Ghatagaon","Odisha","Keonjhar",""
"Blocks","Harichandanpur","Harichandanpur","Odisha","Keonjhar",""
"Blocks","Hatadihi","Hatadihi","Odisha","Keonjhar",""
"Blocks","Jhumpura","Jhumpura","Odisha","Keonjhar",""
"Blocks","Joda","Joda","Odisha","Keonjhar",""
"Blocks","KeonjharSadar","Keonjhar Sadar","Odisha","Keonjhar",""
"Blocks","Patna","Patna","Odisha","Keonjhar",""
"Blocks","Saharpada","Saharpada","Odisha","Keonjhar",""
"Blocks","Balianta","Balianta","Odisha","Khordha",""
"Blocks","Balipatna","Balipatna","Odisha","Khordha",""
"Blocks","Banpur","Banpur","Odisha","Khordha",""
"Blocks","Begunia","Begunia","Odisha","Khordha",""
"Blocks","Bhubaneswar","Bhubaneswar","Odisha","Khordha",""
"Blocks","Bologarh","Bologarh","Odisha","Khordha",""
"Blocks","Chilika","Chilika","Odisha","Khordha",""
"Blocks","Jatni","Jatni","Odisha","Khordha",""
"Blocks","Khordha","Khordha","Odisha","Khordha",""
"Blocks","Tangi","Tangi","Odisha","Khordha",""
"Blocks","Badasahi","Badasahi","Odisha","Mayurbhanj",""
"Blocks","Bahalda","Bahalda","Odisha","Mayurbhanj",""
"Blocks","Bangriposi","Bangriposi","Odisha","Mayurbhanj",""
"Blocks","Baripada","Baripada","Odisha","Mayurbhanj",""
"Blocks","Betnoti","Betnoti","Odisha","Mayurbhanj",""
"Blocks","Bijatala","Bijatala","Odisha","Mayurbhanj",""
"Blocks","Bisoi","Bisoi","Odisha","Mayurbhanj",""
"Blocks","Gopabandhungar","Gopabandhungar","Odisha","Mayurbhanj",""
"Blocks","Jamda","Jamda","Odisha","Mayurbhanj",""
"Blocks","Jashipur","Jashipur","Odisha","Mayurbhanj",""
"Blocks","Kaptipada","Kaptipada","Odisha","Mayurbhanj",""
"Blocks","Karanjia","Karanjia","Odisha","Mayurbhanj",""
"Blocks","Khunta","Khunta","Odisha","Mayurbhanj",""
"Blocks","Kuliana","Kuliana","Odisha","Mayurbhanj",""
"Blocks","Kusumi","Kusumi","Odisha","Mayurbhanj",""
"Blocks","Moroda","Moroda","Odisha","Mayurbhanj",""
"Blocks","Rairangpur","Rairangpur","Odisha","Mayurbhanj",""
"Blocks","Raruan","Raruan","Odisha","Mayurbhanj",""
"Blocks","Rasgovindpur","Rasgovindpur","Odisha","Mayurbhanj",""
"Blocks","Saraskana","Saraskana","Odisha","Mayurbhanj",""
"Blocks","Shamakhunta","Shamakhunta","Odisha","Mayurbhanj",""
"Blocks","Sukruli","Sukruli","Odisha","Mayurbhanj",""
"Blocks","Suliapada","Suliapada","Odisha","Mayurbhanj",""
"Blocks","Thakurmunda","Thakurmunda","Odisha","Mayurbhanj",""
"Blocks","Tiring","Tiring","Odisha","Mayurbhanj",""
"Blocks","Udala","Udala","Odisha","Mayurbhanj",""
"Blocks","Astarang","Astarang","Odisha","Puri",""
"Blocks","Brahmagiri","Brahmagiri","Odisha","Puri",""
"Blocks","Delanga","Delanga","Odisha","Puri",""
"Blocks","Gop","Gop","Odisha","Puri",""
"Blocks","Kakatpur","Kakatpur","Odisha","Puri",""
"Blocks","Kanasa","Kanasa","Odisha","Puri",""
"Blocks","KrushnaPrasad","Krushna Prasad","Odisha","Puri",""
"Blocks","Nimapara","Nimapara","Odisha","Puri",""
"Blocks","Pipili","Pipili","Odisha","Puri",""
"Blocks","PuriSadar","Puri Sadar","Odisha","Puri",""
"Blocks","Satyabadi","Satyabadi","Odisha","Puri",""
"","","","","",""
"GramPanchayats","Agiaon","Agiaon","Bihar","Arah","Agiaon"
"GramPanchayats","Bargaon","Bargaon","Bihar","Arah","Agiaon"
"GramPanchayats","Baruna","Baruna","Bihar","Arah","Agiaon"
"GramPanchayats","Chasi","Chasi","Bihar","Arah","Agiaon"
"GramPanchayats","Dilia","Dilia","Bihar","Arah","Agiaon"
