list_name,name,label,q101_country,q102_state,q103_district
subDistrict,Somala,Somala,India,AndhraPradesh,Chittoor
subDistrict,Srikalahasti,Srikalahasti,India,AndhraPradesh,Chittoor
subDistrict,Srirangarajapuram,Srirangarajapuram,India,AndhraPradesh,Chittoor
subDistrict,Thamballapalle,Thamballapalle,India,AndhraPradesh,Chittoor
subDistrict,Thavanampalle,Thavanampalle,India,AndhraPradesh,Chittoor
subDistrict,Thottambedu,Thottambedu,India,AndhraPradesh,Chittoor
subDistrict,Tirupati_R,Tirupati (Rural),India,AndhraPradesh,Chittoor
subDistrict,Tirupati_U,Tirupati (Urban),India,AndhraPradesh,Chittoor
subDistrict,Vadamalapeta,Vadamalapeta,India,AndhraPradesh,Chittoor
subDistrict,Varadaiahpalem,Varadaiahpalem,India,AndhraPradesh,Chittoor
subDistrict,Vayalpad,Vayalpad,India,AndhraPradesh,Chittoor
subDistrict,Vedurukuppam,Vedurukuppam,India,AndhraPradesh,Chittoor
subDistrict,Venkatagirikota,Venkatagirikota,India,AndhraPradesh,Chittoor
subDistrict,Vijayapuram,Vijayapuram,India,AndhraPradesh,Chittoor
subDistrict,Yadamarri,Yadamarri,India,AndhraPradesh,Chittoor
subDistrict,Yerpedu,Yerpedu,India,AndhraPradesh,Chittoor
subDistrict,Yerravaripalem,Yerravaripalem,India,AndhraPradesh,Chittoor
subDistrict,Addateegala,Addateegala,India,AndhraPradesh,EastGodavari
subDistrict,Ainavilli,Ainavilli,India,AndhraPradesh,EastGodavari
subDistrict,Alamuru,Alamuru,India,AndhraPradesh,EastGodavari
subDistrict,Allavaram,Allavaram,India,AndhraPradesh,EastGodavari
subDistrict,Amalapuram,Amalapuram,India,AndhraPradesh,EastGodavari
subDistrict,Ambajipeta,Ambajipeta,India,AndhraPradesh,EastGodavari
subDistrict,Anaparthy,Anaparthy,India,AndhraPradesh,EastGodavari
subDistrict,Atreyapuram,Atreyapuram,India,AndhraPradesh,EastGodavari
subDistrict,Bhadrachalam,Bhadrachalam,India,AndhraPradesh,EastGodavari
subDistrict,Biccavolu,Biccavolu,India,AndhraPradesh,EastGodavari
subDistrict,Chintur,Chintur,India,AndhraPradesh,EastGodavari
subDistrict,Devipatnam,Devipatnam,India,AndhraPradesh,EastGodavari
subDistrict,Gandepalle,Gandepalle,India,AndhraPradesh,EastGodavari
subDistrict,Gangavaram2,Gangavaram2,India,AndhraPradesh,EastGodavari
subDistrict,Gokavaram,Gokavaram,India,AndhraPradesh,EastGodavari
subDistrict,Gollaprolu,Gollaprolu,India,AndhraPradesh,EastGodavari
subDistrict,IPolavaram,I. Polavaram,India,AndhraPradesh,EastGodavari
subDistrict,Jaggampeta,Jaggampeta,India,AndhraPradesh,EastGodavari
